nummer,reeks,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V180111,HOOFDKLASSE 2 res,2017-04-23 15:30:00,HOEVENEN RES,BOECHOUT_VREMDE RES,,,, ,Hoevenen
V180112,HOOFDKLASSE 2 res,2017-04-23 14:00:00,ATBS RES,AGO AALST RES,,,, ,ATBS
V180113,HOOFDKLASSE 2 res,2017-04-23 14:30:00,KAPELLEN RES,TECHNICO RES,,,, ,Kapellen
V180120,OVERGANGSKLASSE A res,2017-04-22 19:00:00,DEURNE RES,KC LIMES RES,,,, ,Deurne
V180121,OVERGANGSKLASSE A res,2017-04-23 00:00:00,VRIJ,RKC RES,,,, ,
V180122,OVERGANGSKLASSE A res,2017-04-23 15:30:00,EKERSE RES,O.ANDERLECHT RES,,,, ,Ekerse
V180123,OVERGANGSKLASSE A res,2017-04-22 20:00:00,VOS REINAERT RES,KCOV RES,,,, ,Vos Reinaert
V180130,1ste gew TOPKLASSE ,2017-04-23 12:40:00,BOECKENBERG 2,MEEUWEN 2,,,, ,Boeckenberg - Sportcenter
V180131,1ste gew TOPKLASSE ,2017-04-23 12:40:00,BORGERHOUT/GW 2,AKC/Luma 2,,,, ,Borgerhout/GW
V180132,1ste gew TOPKLASSE ,2017-04-23 00:00:00,MINERVA 2,VRIJ,,,, ,
V180133,1ste gew TOPKLASSE ,2017-04-23 00:00:00,VRIJ,FLORIANT 2,,,, ,
V180140,1ste gew PROMOKLASSE,2017-04-23 12:40:00,VOBAKO 2,SIKOPI 2,,,, ,Vobako
V180141,1ste gew PROMOKLASSE,2017-04-23 12:40:00,VOORWAARTS 2,LEUVEN 2,,,, ,Voorwaarts
V180142,1ste gew PROMOKLASSE,2017-04-23 12:40:00,ASKC 2,PUTSE 2,,,, ,ASKC
V180143,1ste gew PROMOKLASSE,2017-04-22 17:30:00,TEMSE 2,RIVIERA 2,,,, ,Temse
V180150,1ste gew HOOFDKLASSE 1,2017-04-23 12:40:00,VERDE 2,RIJKO 2,,,, ,Verde
V180151,1ste gew HOOFDKLASSE 1,2017-04-23 12:40:00,CATBA 2,Hoboken/Mercurius 2,,,, ,Catba
V180152,1ste gew HOOFDKLASSE 1,2017-04-23 00:00:00,VRIJ,SPARTACUS 2,,,, ,
V180153,1ste gew HOOFDKLASSE 1,2017-04-23 12:40:00,APPELS 2,GANDA 2,,,, ,Appels
V190001,TOPKLASSE,2017-04-30 15:30:00,AKC/Luma,BOECKENBERG,,,, ,AKC
V190002,TOPKLASSE,2017-04-30 15:30:00,FLORIANT,MINERVA,,,, ,Floriant
V190003,TOPKLASSE,2017-04-30 15:30:00,MEEUWEN,BORGERHOUT/GW,,,, ,Meeuwen
V190004,TOPKLASSE,2017-04-30 15:30:00,KWIK,SCALDIS,,,, ,Kwik
V190030,PROMOKLASSE,2017-04-30 15:30:00,LEUVEN,SIKOPI,,,, ,Leuven
V190031,PROMOKLASSE,2017-04-30 15:30:00,RIVIERA,ASKC,,,, ,Riviera
V190032,PROMOKLASSE,2017-04-30 15:30:00,VOBAKO,VOORWAARTS,,,, ,Vobako
V190033,PROMOKLASSE,2017-04-30 15:30:00,PUTSE,TEMSE,,,, ,Putse
V190040,TOPKLASSE res,2017-04-30 14:00:00,AKC/Luma RES,BOECKENBERG RES,,,, ,AKC
V190041,TOPKLASSE res,2017-04-30 14:00:00,FLORIANT RES,MINERVA RES,,,, ,Floriant
V190042,TOPKLASSE res,2017-04-30 14:00:00,MEEUWEN RES,BORGERHOUT/GW RES,,,, ,Meeuwen
V190043,TOPKLASSE res,2017-04-30 14:00:00,KWIK RES,SCALDIS RES,,,, ,Kwik
V190050,PROMOKLASSE res,2017-04-30 14:00:00,LEUVEN RES,SIKOPI RES,,,, ,Leuven
V190051,PROMOKLASSE res,2017-04-30 14:00:00,RIVIERA RES,ASKC RES,,,, ,Riviera
V190052,PROMOKLASSE res,2017-04-30 14:00:00,VOBAKO RES,VOORWAARTS RES,,,, ,Vobako
V190053,PROMOKLASSE res,2017-04-30 14:00:00,PUTSE RES,TEMSE RES,,,, ,Putse
V190060,HOOFDKLASSE 1,2017-04-30 15:30:00,Hoboken/Mercurius,VERDE,,,, ,Hoboken 2000
V190061,HOOFDKLASSE 1,2017-04-30 15:30:00,GANDA,KCBJ,,,, ,Ganda
V190062,HOOFDKLASSE 1,2017-04-29 20:30:00,RIJKO,CATBA,,,, ,Rijko
V190063,HOOFDKLASSE 1,2017-04-30 15:30:00,APPELS,SPARTACUS,,,, ,Appels
V190070,HOOFDKLASSE 2,2017-04-30 15:30:00,BOECHOUT_VREMDE,NEERLANDIA,,,, ,Boechout
V190071,HOOFDKLASSE 2,2017-04-30 15:30:00,TECHNICO,ATBS,,,, ,Technico
V190072,HOOFDKLASSE 2,2017-04-30 14:00:00,HOVE,HOEVENEN,,,, ,Hove
V190073,HOOFDKLASSE 2,2017-04-30 16:00:00,KAPELLEN,AGO AALST,,,, ,Kapellen
V190080,OVERGANGSKLASSE A,2017-04-30 14:00:00,RKC,DEURNE,,,, ,RKC
V190081,OVERGANGSKLASSE A,2017-04-30 14:00:00,KCOV,EKERSE,,,, ,KCOV
V190082,OVERGANGSKLASSE A,2017-04-29 19:00:00,KC Limes,JOKI,,,, ,Limes
V190083,OVERGANGSKLASSE A,2017-04-29 18:30:00,VOS REINAERT,O.ANDERLECHT,,,, ,Vos Reinaert
V190090,OVERGANGSKLASSE B,2017-04-30 12:00:00,Hoboken/Mercurius 3,NEERLANDIA 2,,,, ,Hoboken 2000
V190091,OVERGANGSKLASSE B,2017-04-30 15:30:00,BORNEM,VOSKO,,,, ,Bornem
V190092,OVERGANGSKLASSE B,2017-04-30 12:00:00,BOUTERSEM,HOEVENEN 2,,,, ,Boutersem
V190093,OVERGANGSKLASSE B,2017-04-30 12:40:00,KAPELLEN 2,THE BLUE GHOSTS,,,, ,Kapellen
V190100,HOOFDKLASSE 1 res,2017-04-30 14:00:00,Hoboken/Mercurius res,VERDE RES,,,, ,Hoboken 2000
V190101,HOOFDKLASSE 1 res,2017-04-30 14:00:00,GANDA RES,KCBJ RES,,,, ,Ganda
V190102,HOOFDKLASSE 1 res,2017-04-29 19:00:00,RIJKO RES,CATBA RES,,,, ,Rijko
V190103,HOOFDKLASSE 1 res,2017-04-30 14:00:00,APPELS RES,SPARTACUS RES,,,, ,Appels
V190110,HOOFDKLASSE 2 res,2017-04-30 14:00:00,BOECHOUT_VREMDE RES,NEERLANDIA RES,,,, ,Boechout
V190111,HOOFDKLASSE 2 res,2017-04-30 14:00:00,TECHNICO RES,ATBS RES,,,, ,Technico
V190112,HOOFDKLASSE 2 res,2017-04-30 15:30:00,HOVE RES,HOEVENEN RES,,,, ,Hove
V190113,HOOFDKLASSE 2 res,2017-04-30 14:30:00,KAPELLEN RES,AGO AALST RES,,,, ,Kapellen
V190120,OVERGANGSKLASSE A res,2017-04-30 15:30:00,RKC RES,DEURNE RES,,,, ,RKC
V190121,OVERGANGSKLASSE A res,2017-04-30 15:30:00,KCOV RES,EKERSE RES,,,, ,KCOV
V190122,OVERGANGSKLASSE A res,2017-04-29 00:00:00,KC LIMES RES,VRIJ,,,, ,
V190123,OVERGANGSKLASSE A res,2017-04-29 20:00:00,VOS REINAERT RES,O.ANDERLECHT RES,,,, ,Vos Reinaert
V190130,1ste gew TOPKLASSE ,2017-04-30 12:40:00,AKC/Luma 2,BOECKENBERG 2,,,, ,AKC
V190131,1ste gew TOPKLASSE ,2017-04-30 12:40:00,FLORIANT 2,MINERVA 2,,,, ,Floriant
V190132,1ste gew TOPKLASSE ,2017-04-30 12:40:00,MEEUWEN 2,BORGERHOUT/GW 2,,,, ,Meeuwen
V190140,1ste gew PROMOKLASSE,2017-04-30 12:40:00,LEUVEN 2,SIKOPI 2,,,, ,Leuven
V190141,1ste gew PROMOKLASSE,2017-04-30 12:40:00,RIVIERA 2,ASKC 2,,,, ,Riviera
V190142,1ste gew PROMOKLASSE,2017-04-30 12:40:00,VOBAKO 2,VOORWAARTS 2,,,, ,Vobako
V190143,1ste gew PROMOKLASSE,2017-04-30 12:40:00,PUTSE 2,TEMSE 2,,,, ,Putse
V190150,1ste gew HOOFDKLASSE 1,2017-04-30 12:40:00,Hoboken/Mercurius 2,VERDE 2,,,, ,Hoboken 2000
V190151,1ste gew HOOFDKLASSE 1,2017-04-30 00:00:00,GANDA 2,VRIJ,,,, ,
V190152,1ste gew HOOFDKLASSE 1,2017-04-29 17:30:00,RIJKO 2,CATBA 2,,,, ,Rijko
V190153,1ste gew HOOFDKLASSE 1,2017-04-30 12:40:00,APPELS 2,SPARTACUS 2,,,, ,Appels
V200001,TOPKLASSE,2017-05-07 15:30:00,BOECKENBERG,KWIK,,,, ,Boeckenberg - Sportcenter
V200002,TOPKLASSE,2017-05-07 15:30:00,BORGERHOUT/GW,FLORIANT,,,, ,Borgerhout/GW
V200003,TOPKLASSE,2017-05-07 15:30:00,MINERVA,MEEUWEN,,,, ,Minerva
V200004,TOPKLASSE,2017-05-07 15:30:00,SCALDIS,AKC/Luma,,,, ,Scaldis
V200030,PROMOKLASSE,2017-05-07 15:30:00,SIKOPI,TEMSE,,,, ,Sikopi
V200031,PROMOKLASSE,2017-05-07 15:30:00,VOORWAARTS,RIVIERA,,,, ,Voorwaarts
V200032,PROMOKLASSE,2017-05-07 14:00:00,ASKC,VOBAKO,,,, ,ASKC
V200033,PROMOKLASSE,2017-05-07 15:30:00,PUTSE,LEUVEN,,,, ,Putse
V200040,TOPKLASSE res,2017-05-07 14:00:00,BOECKENBERG RES,KWIK RES,,,, ,Boeckenberg - Sportcenter
V200041,TOPKLASSE res,2017-05-07 14:00:00,BORGERHOUT/GW RES,FLORIANT RES,,,, ,Borgerhout/GW
V200042,TOPKLASSE res,2017-05-07 14:00:00,MINERVA RES,MEEUWEN RES,,,, ,Minerva
V200043,TOPKLASSE res,2017-05-07 14:00:00,SCALDIS RES,AKC/Luma RES,,,, ,Scaldis
V200050,PROMOKLASSE res,2017-05-07 14:00:00,SIKOPI RES,TEMSE RES,,,, ,Sikopi
V200051,PROMOKLASSE res,2017-05-07 14:00:00,VOORWAARTS RES,RIVIERA RES,,,, ,Voorwaarts
V200052,PROMOKLASSE res,2017-05-07 15:30:00,ASKC RES,VOBAKO RES,,,, ,ASKC
V200053,PROMOKLASSE res,2017-05-07 14:00:00,PUTSE RES,LEUVEN RES,,,, ,Putse
V200060,HOOFDKLASSE 1,2017-05-07 14:15:00,VERDE,APPELS,,,, ,Verde
V200061,HOOFDKLASSE 1,2017-05-07 15:30:00,GANDA,CATBA,,,, ,Ganda
V200062,HOOFDKLASSE 1,2017-05-07 15:30:00,KCBJ,RIJKO,,,, ,KCBJ
V200063,HOOFDKLASSE 1,2017-05-07 14:30:00,SPARTACUS,Hoboken/Mercurius,,,, ,Spartacus
V200070,HOOFDKLASSE 2,2017-05-07 15:30:00,NEERLANDIA,KAPELLEN,,,, ,Neerlandia
V200071,HOOFDKLASSE 2,2017-05-07 14:00:00,HOEVENEN,TECHNICO,,,, ,Hoevenen
V200072,HOOFDKLASSE 2,2017-05-07 15:30:00,ATBS,HOVE,,,, ,ATBS
V200073,HOOFDKLASSE 2,2017-05-07 14:00:00,AGO AALST,BOECHOUT_VREMDE,,,, ,AGO Aalst
V200080,OVERGANGSKLASSE A,2017-05-06 20:30:00,DEURNE,VOS REINAERT,,,, ,Deurne
V200081,OVERGANGSKLASSE A,2017-05-07 14:00:00,KCOV,JOKI,,,, ,KCOV
V200082,OVERGANGSKLASSE A,2017-05-07 14:00:00,EKERSE,KC Limes,,,, ,Ekerse
V200083,OVERGANGSKLASSE A,2017-05-07 14:00:00,O.ANDERLECHT,RKC,,,, ,Anderlecht
V200090,OVERGANGSKLASSE B,2017-05-07 12:40:00,NEERLANDIA 2,KAPELLEN 2,,,, ,Neerlandia
V200091,OVERGANGSKLASSE B,2017-05-07 12:40:00,HOEVENEN 2,BORNEM,,,, ,Hoevenen
V200092,OVERGANGSKLASSE B,2017-05-07 15:30:00,VOSKO,BOUTERSEM,,,, ,Vosko
V200093,OVERGANGSKLASSE B,2017-05-06 15:30:00,THE BLUE GHOSTS,Hoboken/Mercurius 3,,,, ,The Blue Ghosts
V200100,HOOFDKLASSE 1 res,2017-05-07 15:45:00,VERDE RES,APPELS RES,,,, ,Verde
V200101,HOOFDKLASSE 1 res,2017-05-07 14:00:00,GANDA RES,CATBA RES,,,, ,Ganda
V200102,HOOFDKLASSE 1 res,2017-05-07 14:00:00,KCBJ RES,RIJKO RES,,,, ,KCBJ
V200103,HOOFDKLASSE 1 res,2017-05-07 16:00:00,SPARTACUS RES,Hoboken/Mercurius res,,,, ,Spartacus
V200110,HOOFDKLASSE 2 res,2017-05-07 14:00:00,NEERLANDIA RES,KAPELLEN RES,,,, ,Neerlandia
V200111,HOOFDKLASSE 2 res,2017-05-07 15:30:00,HOEVENEN RES,TECHNICO RES,,,, ,Hoevenen
V200112,HOOFDKLASSE 2 res,2017-05-07 14:00:00,ATBS RES,HOVE RES,,,, ,ATBS
V200113,HOOFDKLASSE 2 res,2017-05-07 15:30:00,AGO AALST RES,BOECHOUT_VREMDE RES,,,, ,AGO Aalst
V200120,OVERGANGSKLASSE A res,2017-05-06 19:00:00,DEURNE RES,VOS REINAERT RES,,,, ,Deurne
V200121,OVERGANGSKLASSE A res,2017-05-07 00:00:00,KCOV RES,VRIJ,,,, ,
V200122,OVERGANGSKLASSE A res,2017-05-07 15:30:00,EKERSE RES,KC LIMES RES,,,, ,Ekerse
V200123,OVERGANGSKLASSE A res,2017-05-07 15:30:00,O.ANDERLECHT RES,RKC RES,,,, ,Anderlecht
V200130,1ste gew TOPKLASSE ,2017-05-07 00:00:00,BOECKENBERG 2,VRIJ,,,, ,
V200131,1ste gew TOPKLASSE ,2017-05-07 12:40:00,BORGERHOUT/GW 2,FLORIANT 2,,,, ,Borgerhout/GW
V200132,1ste gew TOPKLASSE ,2017-05-07 12:40:00,MINERVA 2,MEEUWEN 2,,,, ,Minerva
V200133,1ste gew TOPKLASSE ,2017-05-07 00:00:00,VRIJ,AKC/Luma 2,,,, ,
V200140,1ste gew PROMOKLASSE,2017-05-07 12:40:00,SIKOPI 2,TEMSE 2,,,, ,Sikopi
V200141,1ste gew PROMOKLASSE,2017-05-07 12:40:00,VOORWAARTS 2,RIVIERA 2,,,, ,Voorwaarts
V200142,1ste gew PROMOKLASSE,2017-05-07 12:40:00,ASKC 2,VOBAKO 2,,,, ,ASKC
V200143,1ste gew PROMOKLASSE,2017-05-07 12:40:00,PUTSE 2,LEUVEN 2,,,, ,Putse
V200150,1ste gew HOOFDKLASSE 1,2017-05-07 12:40:00,VERDE 2,APPELS 2,,,, ,Verde
V200151,1ste gew HOOFDKLASSE 1,2017-05-07 12:40:00,GANDA 2,CATBA 2,,,, ,Ganda
V200152,1ste gew HOOFDKLASSE 1,2017-05-07 00:00:00,VRIJ,RIJKO 2,,,, ,
V200153,1ste gew HOOFDKLASSE 1,2017-05-07 12:40:00,SPARTACUS 2,Hoboken/Mercurius 2,,,, ,Spartacus
V210001,TOPKLASSE,2017-05-14 15:30:00,BORGERHOUT/GW,BOECKENBERG,,,, ,Borgerhout/GW
V210002,TOPKLASSE,2017-05-14 15:30:00,SCALDIS,FLORIANT,,,, ,Scaldis
V210003,TOPKLASSE,2017-05-14 15:30:00,AKC/Luma,MEEUWEN,,,, ,AKC
V210004,TOPKLASSE,2017-05-14 15:30:00,MINERVA,KWIK,,,, ,Minerva
V210030,PROMOKLASSE,2017-05-14 15:30:00,VOORWAARTS,SIKOPI,,,, ,Voorwaarts
V210031,PROMOKLASSE,2017-05-14 15:30:00,PUTSE,RIVIERA,,,, ,Putse
V210032,PROMOKLASSE,2017-05-14 15:30:00,LEUVEN,VOBAKO,,,, ,Leuven
V210033,PROMOKLASSE,2017-05-14 15:30:00,ASKC,TEMSE,,,, ,ASKC
V210040,TOPKLASSE res,2017-05-14 14:00:00,BORGERHOUT/GW RES,BOECKENBERG RES,,,, ,Borgerhout/GW
V210041,TOPKLASSE res,2017-05-14 14:00:00,SCALDIS RES,FLORIANT RES,,,, ,Scaldis
V210042,TOPKLASSE res,2017-05-14 14:00:00,AKC/Luma RES,MEEUWEN RES,,,, ,AKC
V210043,TOPKLASSE res,2017-05-14 14:00:00,MINERVA RES,KWIK RES,,,, ,Minerva
V210050,PROMOKLASSE res,2017-05-14 14:00:00,VOORWAARTS RES,SIKOPI RES,,,, ,Voorwaarts
V210051,PROMOKLASSE res,2017-05-14 14:00:00,PUTSE RES,RIVIERA RES,,,, ,Putse
V210052,PROMOKLASSE res,2017-05-14 14:00:00,LEUVEN RES,VOBAKO RES,,,, ,Leuven
V210053,PROMOKLASSE res,2017-05-14 14:00:00,ASKC RES,TEMSE RES,,,, ,ASKC
V210060,HOOFDKLASSE 1,2017-05-14 15:30:00,CATBA,VERDE,,,, ,Catba
V210061,HOOFDKLASSE 1,2017-05-14 15:30:00,SPARTACUS,GANDA,,,, ,Spartacus
V210062,HOOFDKLASSE 1,2017-05-14 15:30:00,Hoboken/Mercurius,RIJKO,,,, ,Hoboken 2000
V210063,HOOFDKLASSE 1,2017-05-14 15:30:00,KCBJ,APPELS,,,, ,KCBJ
V210070,HOOFDKLASSE 2,2017-05-14 14:00:00,HOEVENEN,NEERLANDIA,,,, ,Hoevenen
V210071,HOOFDKLASSE 2,2017-05-14 14:00:00,AGO AALST,TECHNICO,,,, ,AGO Aalst
V210072,HOOFDKLASSE 2,2017-05-14 15:30:00,BOECHOUT_VREMDE,HOVE,,,, ,Boechout
V210073,HOOFDKLASSE 2,2017-05-14 15:30:00,ATBS,KAPELLEN,,,, ,ATBS
V210080,OVERGANGSKLASSE A,2017-05-14 14:00:00,JOKI,DEURNE,,,, ,Joki
V210081,OVERGANGSKLASSE A,2017-05-14 14:00:00,O.ANDERLECHT,KCOV,,,, ,Anderlecht
V210082,OVERGANGSKLASSE A,2017-05-14 14:00:00,RKC,KC Limes,,,, ,RKC
V210083,OVERGANGSKLASSE A,2017-05-14 14:00:00,EKERSE,VOS REINAERT,,,, ,Ekerse
V210090,OVERGANGSKLASSE B,2017-05-14 12:40:00,HOEVENEN 2,NEERLANDIA 2,,,, ,Hoevenen
V210091,OVERGANGSKLASSE B,2017-05-13 15:30:00,THE BLUE GHOSTS,BORNEM,,,, ,The Blue Ghosts
V210092,OVERGANGSKLASSE B,2017-05-14 12:40:00,Hoboken/Mercurius 3,BOUTERSEM,,,, ,Hoboken 2000
V210093,OVERGANGSKLASSE B,2017-05-14 15:30:00,VOSKO,KAPELLEN 2,,,, ,Vosko
V210100,HOOFDKLASSE 1 res,2017-05-14 14:00:00,CATBA RES,VERDE RES,,,, ,Catba
V210101,HOOFDKLASSE 1 res,2017-05-14 14:00:00,SPARTACUS RES,GANDA RES,,,, ,Spartacus
V210102,HOOFDKLASSE 1 res,2017-05-14 14:00:00,Hoboken/Mercurius res,RIJKO RES,,,, ,Hoboken 2000
V210103,HOOFDKLASSE 1 res,2017-05-14 14:00:00,KCBJ RES,APPELS RES,,,, ,KCBJ
V210110,HOOFDKLASSE 2 res,2017-05-14 15:30:00,HOEVENEN RES,NEERLANDIA RES,,,, ,Hoevenen
V210111,HOOFDKLASSE 2 res,2017-05-14 15:30:00,AGO AALST RES,TECHNICO RES,,,, ,AGO Aalst
V210112,HOOFDKLASSE 2 res,2017-05-14 14:00:00,BOECHOUT_VREMDE RES,HOVE RES,,,, ,Boechout
V210113,HOOFDKLASSE 2 res,2017-05-14 14:00:00,ATBS RES,KAPELLEN RES,,,, ,ATBS
V210120,OVERGANGSKLASSE A res,2017-05-14 00:00:00,VRIJ,DEURNE RES,,,, ,
V210121,OVERGANGSKLASSE A res,2017-05-14 15:30:00,O.ANDERLECHT RES,KCOV RES,,,, ,Anderlecht
V210122,OVERGANGSKLASSE A res,2017-05-14 15:30:00,RKC RES,KC LIMES RES,,,, ,RKC
V210123,OVERGANGSKLASSE A res,2017-05-14 15:30:00,EKERSE RES,VOS REINAERT RES,,,, ,Ekerse
V210130,1ste gew TOPKLASSE ,2017-05-14 12:40:00,BORGERHOUT/GW 2,BOECKENBERG 2,,,, ,Borgerhout/GW
V210131,1ste gew TOPKLASSE ,2017-05-14 00:00:00,VRIJ,FLORIANT 2,,,, ,
V210132,1ste gew TOPKLASSE ,2017-05-14 12:40:00,AKC/Luma 2,MEEUWEN 2,,,, ,AKC
V210133,1ste gew TOPKLASSE ,2017-05-14 00:00:00,MINERVA 2,VRIJ,,,, ,
V210140,1ste gew PROMOKLASSE,2017-05-14 12:40:00,VOORWAARTS 2,SIKOPI 2,,,, ,Voorwaarts
V210141,1ste gew PROMOKLASSE,2017-05-14 12:40:00,PUTSE 2,RIVIERA 2,,,, ,Putse
V210142,1ste gew PROMOKLASSE,2017-05-14 12:40:00,LEUVEN 2,VOBAKO 2,,,, ,Leuven
V210143,1ste gew PROMOKLASSE,2017-05-14 12:40:00,ASKC 2,TEMSE 2,,,, ,ASKC
V210150,1ste gew HOOFDKLASSE 1,2017-05-14 12:40:00,CATBA 2,VERDE 2,,,, ,Catba
V210151,1ste gew HOOFDKLASSE 1,2017-05-14 12:40:00,SPARTACUS 2,GANDA 2,,,, ,Spartacus
V210152,1ste gew HOOFDKLASSE 1,2017-05-14 12:40:00,Hoboken/Mercurius 2,RIJKO 2,,,, ,Hoboken 2000
V210153,1ste gew HOOFDKLASSE 1,2017-05-14 00:00:00,VRIJ,APPELS 2,,,, ,
