nummer,reeks,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V060060,HOOFDKLASSE 1,2016-09-24 20:30:00,RIJKO,VERDE,,,Sven Janssens , ,Rijko
V060061,HOOFDKLASSE 1,2016-09-25 15:30:00,Hoboken/Mercurius,CATBA,,,Vincent Van der Beken, ,Hoboken 2000
V060062,HOOFDKLASSE 1,2016-09-25 14:30:00,SPARTACUS,KCBJ,,,Stef Cleyman, ,Spartacus
V060063,HOOFDKLASSE 1,2016-09-25 15:30:00,GANDA,APPELS,,,Bjorn Elewaut, ,Ganda
V060070,HOOFDKLASSE 2,2016-09-25 14:00:00,HOVE,NEERLANDIA,,,Dave Mertens, ,Hove
V060071,HOOFDKLASSE 2,2016-09-25 15:30:00,BOECHOUT_VREMDE,HOEVENEN,,,Kurt Vanlerberghe, ,Boechout
V060072,HOOFDKLASSE 2,2016-09-25 14:00:00,AGO AALST,ATBS,,,Erik Van Hove, ,AGO Aalst
V060073,HOOFDKLASSE 2,2016-09-25 15:30:00,TECHNICO,KAPELLEN,,,Ben Morel, ,Technico
V060080,OVERGANGSKLASSE A,2016-09-24 19:00:00,KC Limes,DEURNE,,,Kris Meeus, ,Limes
V060081,OVERGANGSKLASSE A,2016-09-25 14:00:00,RKC,JOKI,,,Jacques Ceurvelts, ,RKC
V060082,OVERGANGSKLASSE A,2016-09-25 14:00:00,O.ANDERLECHT,EKERSE,,,Jeff Robert, ,Anderlecht
V060083,OVERGANGSKLASSE A,2016-09-25 14:00:00,KCOV,VOS REINAERT,,,Armand Scheerens, ,KCOV
V060090,OVERGANGSKLASSE B,2016-09-25 12:00:00,BOUTERSEM,NEERLANDIA 2,,,Nico Van Pellecom, ,Boutersem
V060091,OVERGANGSKLASSE B,2016-09-25 12:40:00,Hoboken/Mercurius 3,HOEVENEN 2,,,Dirk D'hollander, ,Hoboken 2000
V060092,OVERGANGSKLASSE B,2016-09-24 15:30:00,THE BLUE GHOSTS,VOSKO,,,Johan Gyselinck, ,The Blue Ghosts
V060093,OVERGANGSKLASSE B,2016-09-25 15:30:00,BORNEM,KAPELLEN 2,,,Lodewijk Van den Wyngaert, ,Bornem
V060100,HOOFDKLASSE 1 res,2016-09-24 19:00:00,RIJKO RES,VERDE RES,,,, ,Rijko
V060101,HOOFDKLASSE 1 res,2016-09-25 14:00:00,Hoboken/Mercurius res,CATBA RES,,,, ,Hoboken 2000
V060102,HOOFDKLASSE 1 res,2016-09-25 16:00:00,SPARTACUS RES,KCBJ RES,,,Andre Van den Berge, ,Spartacus
V060103,HOOFDKLASSE 1 res,2016-09-25 14:00:00,GANDA RES,APPELS RES,,,, ,Ganda
V060110,HOOFDKLASSE 2 res,2016-09-25 15:30:00,HOVE RES,NEERLANDIA RES,,,, ,Hove
V060111,HOOFDKLASSE 2 res,2016-09-25 14:00:00,BOECHOUT_VREMDE RES,HOEVENEN RES,,,, ,Boechout
V060112,HOOFDKLASSE 2 res,2016-09-25 15:30:00,AGO AALST RES,ATBS RES,,,, ,AGO Aalst
V060113,HOOFDKLASSE 2 res,2016-09-25 14:00:00,TECHNICO RES,KAPELLEN RES,,,, ,Technico
V060120,OVERGANGSKLASSE A res,2016-09-24 20:30:00,KC LIMES RES,DEURNE RES,,,, ,Limes
V060121,OVERGANGSKLASSE A res,2016-09-25 00:00:00,RKC RES,VRIJ,,,, ,
V060122,OVERGANGSKLASSE A res,2016-09-25 15:30:00,O.ANDERLECHT RES,EKERSE RES,,,, ,Anderlecht
V060123,OVERGANGSKLASSE A res,2016-09-25 15:30:00,KCOV RES,VOS REINAERT RES,,,, ,KCOV
V060130,1ste gew TOPKLASSE ,2016-09-25 00:00:00,VRIJ,BOECKENBERG 2,,,, ,
V060131,1ste gew TOPKLASSE ,2016-09-25 12:40:00,FLORIANT 2,BORGERHOUT/GW 2,,,, ,Floriant
V060132,1ste gew TOPKLASSE ,2016-09-25 12:40:00,MEEUWEN 2,MINERVA 2,,,, ,Meeuwen
V060133,1ste gew TOPKLASSE ,2016-09-25 00:00:00,AKC/Luma 2,VRIJ,,,, ,
V060140,1ste gew PROMOKLASSE,2016-09-24 17:30:00,TEMSE 2,SIKOPI 2,,,, ,Temse
V060141,1ste gew PROMOKLASSE,2016-09-25 12:40:00,RIVIERA 2,VOORWAARTS 2,,,, ,Riviera
V060142,1ste gew PROMOKLASSE,2016-09-25 12:40:00,VOBAKO 2,ASKC 2,,,, ,Vobako
V060143,1ste gew PROMOKLASSE,2016-09-25 12:40:00,LEUVEN 2,PUTSE 2,,,, ,Leuven
V060150,1ste gew HOOFDKLASSE 1,2016-09-24 17:30:00,RIJKO 2,VERDE 2,,,, ,Rijko
V060151,1ste gew HOOFDKLASSE 1,2016-09-25 12:40:00,Hoboken/Mercurius 2,CATBA 2,,,, ,Hoboken 2000
V060152,1ste gew HOOFDKLASSE 1,2016-09-25 00:00:00,SPARTACUS 2,VRIJ,,,, ,
V060153,1ste gew HOOFDKLASSE 1,2016-09-25 12:40:00,GANDA 2,APPELS 2,,,, ,Ganda
V070001,TOPKLASSE,2016-10-02 15:30:00,BOECKENBERG,BORGERHOUT/GW,,,Miguel Wensma, ,Boeckenberg - Sportcenter
V070002,TOPKLASSE,2016-10-02 15:30:00,FLORIANT,SCALDIS,,,Kris Meeus, ,Floriant
V070003,TOPKLASSE,2016-10-02 15:30:00,MEEUWEN,AKC/Luma,,,Robin De Backer, ,Meeuwen
V070004,TOPKLASSE,2016-10-02 15:30:00,KWIK,MINERVA,,,Bjorn Elewaut, ,Kwik
V070030,PROMOKLASSE,2016-10-02 15:30:00,SIKOPI,VOORWAARTS,,,Vincent Van der Beken, ,Sikopi
V070031,PROMOKLASSE,2016-10-02 15:30:00,RIVIERA,PUTSE,,,Hans Van Hellemont, ,Riviera
V070032,PROMOKLASSE,2016-10-02 15:30:00,VOBAKO,LEUVEN,,,Tina Van Grimberge, ,Vobako
V070033,PROMOKLASSE,2016-10-01 20:30:00,TEMSE,ASKC,,,Jan Nelen, ,Temse
V070040,TOPKLASSE res,2016-10-02 14:00:00,BOECKENBERG RES,BORGERHOUT/GW RES,,,, ,Boeckenberg - Sportcenter
V070041,TOPKLASSE res,2016-10-02 14:00:00,FLORIANT RES,SCALDIS RES,,,, ,Floriant
V070042,TOPKLASSE res,2016-10-02 14:00:00,MEEUWEN RES,AKC/Luma RES,,,Jeff Robert, ,Meeuwen
V070043,TOPKLASSE res,2016-10-02 14:00:00,KWIK RES,MINERVA RES,,,Francçois Heyrman, ,Kwik
V070050,PROMOKLASSE res,2016-10-02 14:00:00,SIKOPI RES,VOORWAARTS RES,,,, ,Sikopi
V070051,PROMOKLASSE res,2016-10-02 14:00:00,RIVIERA RES,PUTSE RES,,,, ,Riviera
V070052,PROMOKLASSE res,2016-10-02 14:00:00,VOBAKO RES,LEUVEN RES,,,, ,Vobako
V070053,PROMOKLASSE res,2016-10-01 18:45:00,TEMSE RES,ASKC RES,,,, ,Temse
V070060,HOOFDKLASSE 1,2016-10-02 14:15:00,VERDE,Hoboken/Mercurius,,,Stef Cleyman, ,Verde
V070061,HOOFDKLASSE 1,2016-10-02 15:30:00,KCBJ,GANDA,,,Inge Bekaert, ,KCBJ
V070062,HOOFDKLASSE 1,2016-10-02 15:30:00,CATBA,RIJKO,,,Ben Morel, ,Catba
V070063,HOOFDKLASSE 1,2016-10-02 14:30:00,SPARTACUS,APPELS,,,Dave Mertens, ,Spartacus
V070070,HOOFDKLASSE 2,2016-10-02 15:30:00,NEERLANDIA,BOECHOUT_VREMDE,,,Sven Janssens , ,Neerlandia
V070071,HOOFDKLASSE 2,2016-10-02 15:30:00,ATBS,TECHNICO,,,Erik Van Hove, ,ATBS
V070072,HOOFDKLASSE 2,2016-10-02 14:00:00,HOEVENEN,HOVE,,,Tom Goddefroy, ,Hoevenen
V070073,HOOFDKLASSE 2,2016-10-02 14:00:00,AGO AALST,KAPELLEN,,,Erik Baetens, ,AGO Aalst
V070080,OVERGANGSKLASSE A,2016-10-01 20:30:00,DEURNE,RKC,,,Jozef Van Acker, ,Deurne
V070081,OVERGANGSKLASSE A,2016-10-02 14:00:00,EKERSE,KCOV,,,Jacques Ceurvelts, ,Ekerse
V070082,OVERGANGSKLASSE A,2016-10-02 14:00:00,JOKI,KC Limes,,,Lodewijk Van den Wyngaert, ,Joki
V070083,OVERGANGSKLASSE A,2016-10-02 14:00:00,O.ANDERLECHT,VOS REINAERT,,,Johan Gyselinck, ,Anderlecht
V070090,OVERGANGSKLASSE B,2016-10-02 12:40:00,NEERLANDIA 2,Hoboken/Mercurius 3,,,Armand Scheerens, ,Neerlandia
V070091,OVERGANGSKLASSE B,2016-10-02 15:30:00,VOSKO,BORNEM,,,Kurt Vanlerberghe, ,Vosko
